Scientific name,Name status,Group,Source database
"Amathia (Crassicaula) medullaris    (Mawatari, 1972)","accepted name","Animalia","WoRMS Bryozoa"
"Ammatophora  nodulosa    (Hincks, 1877)","accepted name","Animalia","WoRMS Bryozoa"
"Ammatophora  typica    (Canu & Bassler, 1928)","accepted name","Animalia","WoRMS Bryozoa"
"Amphibiobeania  epiphylla    Metcalfe, Gordon & Hayward, 2007","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  alcimum    Gordon, 1984","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  alienus    Hayward & Thorpe, 1989","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  auritum    (Hincks, 1877)","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  blandum    Gordon, 1986","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  contentum    Gordon, 1986","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  crassispinosum    (Silén, 1954)","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  familiaris    Hayward & Thorpe, 1989","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  flemingii    (Busk, 1854)","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  frigidum    Rosso, 2002","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  georgensis    Hayward & Thorpe, 1989","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  henryi    Kuklinski & Barnes, 2009","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  inermis    (Kluge, 1914)","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  lyrulatum    (Calvet, 1907)","accepted name","Animalia","WoRMS Bryozoa"
"Amphiblestrum  novella    Hayward & Thorpe, 1989","accepted name","Animalia","WoRMS Bryozoa"
